station,code,led,array_x,array_y,R,G,B
Harrow & Wealdstone ,940GZZLUHAW,13,1,6,197,98,5
Kenton,940GZZLUKEN,16,4,6,197,98,5
South Kenton,940GZZLUSKT,19,7,6,197,98,5
North Wembley,940GZZLUNWY,22,10,6,197,98,5
Wembley Central,940GZZLUWYC,25,13,6,197,98,5
Stonebridge Park,940GZZLUSGP,28,16,6,197,98,5
Harlesden,940GZZLUHSN,31,19,6,197,98,5
Willesden Junction,940GZZLUWJN,34,22,6,197,98,5
Kensal Green,940GZZLUKSL,36,24,6,197,98,5
Queen's Park,940GZZLUQPS,38,26,6,197,98,5
Kilburn Park,940GZZLUKPK,40,28,6,197,98,5
Maida Vale,940GZZLUMVL,42,30,6,197,98,5
Warwick Avenue,940GZZLUWKA,44,32,6,197,98,5
Paddington,940GZZLUPAC,46,34,6,197,98,5
Edgware Road (Bakerloo),940GZZLUERB,48,36,6,197,98,5
Marylebone,940GZZLUMYB,50,38,6,197,98,5
Baker Street,940GZZLUBST,52,40,6,197,98,5
Regent's Park,940GZZLURGP,55,43,6,197,98,5
Oxford Circus,940GZZLUOXC,58,46,6,197,98,5
Piccadilly Circus,940GZZLUPCC,61,49,6,197,98,5
Charing Cross,940GZZLUCHX,64,52,6,197,98,5
Embankment,940GZZLUEMB,67,55,6,197,98,5
Waterloo,940GZZLUWLO,70,58,6,197,98,5
Lambeth North,940GZZLULBN,73,61,6,197,98,5
Elephant & Castle,940GZZLUEAC,76,64,6,197,98,5
