station,code,led,array_x,array_y,R,G,B
Epping,940GZZLUEPG,73,61,6,255,0,255
Theydon Bois,940GZZLUTHB,71,59,6,255,0,255
Debden,940GZZLUDBN,69,57,6,255,0,255
Loughton,940GZZLULGN,67,55,6,255,0,255
Buckhurst Hill,940GZZLUBKH,65,53,6,255,0,255
Woodford,940GZZLUWOF,63,51,6,255,0,255
South Woodford,940GZZLUSWF,113,51,15,255,0,255
Snaresbrook,940GZZLUSNB,111,40,15,255,0,255
Leytonstone,940GZZLULYS,52,40,6,255,0,255
Leyton,940GZZLULYN,50,38,6,255,0,255
Stratford,940GZZLUSTD,48,36,6,255,0,255
Mile End,940GZZLUMED,47,35,6,255,0,255
Bethnal Green,940GZZLUBLG,46,34,6,255,0,255
Liverpool Street,940GZZLULVT,45,33,6,255,0,255
Bank,940GZZLUBNK,44,32,6,255,0,255
St. Paul's,940GZZLUSPU,43,31,6,255,0,255
Chancery Lane,940GZZLUCHL,42,30,6,255,0,255
Holborn,940GZZLUHBN,41,29,6,255,0,255
Tottenham Court Road,940GZZLUTCR,40,28,6,255,0,255
Oxford Circus,940GZZLUOXC,39,27,6,255,0,255
Bond Street,940GZZLUBND,38,26,6,255,0,255
Marble Arch,940GZZLUMBA,37,25,6,255,0,255
Lancaster Gate,940GZZLULGT,36,24,6,255,0,255
Queensway,940GZZLUQWY,35,23,6,255,0,255
Notting Hill Gate,940GZZLUNHG,34,22,6,255,0,255
Holland Park,940GZZLUHPK,33,21,6,255,0,255
Shepherd's Bush (Central),940GZZLUSBC,32,20,6,255,0,255
White City,940GZZLUWCY,31,19,6,255,0,255
East Acton,940GZZLUEAN,30,18,6,255,0,255
North Acton,940GZZLUNAN,28,16,6,255,0,255
Hanger Lane,940GZZLUHGR,26,16,6,255,0,255
Perivale,940GZZLUPVL,24,12,6,255,0,255
Greenford,940GZZLUGFD,22,10,6,255,0,255
Northolt,940GZZLUNHT,20,8,6,255,0,255
South Ruislip,940GZZLUSRP,18,6,6,255,0,255
Ruislip Gardens,940GZZLURSG,16,4,6,255,0,255
West Ruislip,940GZZLUWRP,13,1,6,255,0,255
Ealing Broadway,940GZZLUEBY,100,16,19,255,0,255
West Acton,940GZZLUWTA,106,16,15,255,0,255
Wanstead,940GZZLUWSD,53,41,6,255,0,255
Redbridge,940GZZLURBG,54,42,6,255,0,255
Gants Hill,940GZZLUGTH,55,43,6,255,0,255
Barkingside,940GZZLUBKE,56,44,6,255,0,255
Newbury Park,940GZZLUNBP,57,45,6,255,0,255
Fairlop,940GZZLUFLP,58,46,6,255,0,255
Hainault,940GZZLUHLT,59,47,6,255,0,255
Grange Hill,940GZZLUGGH,60,48,6,255,0,255
Chigwell,940GZZLUCWL,61,49,6,255,0,255
Roding Valley,940GZZLURVY,62,50,6,255,0,255
