station,code,led,array_x,array_y,R,G,B
Paddington,940GZZLUPAC,91,28,9,255,211,41
Bayswater,940GZZLUBWT,90,28,12,255,211,41
Notting Hill Gate,940GZZLUNHG,107,28,15,255,211,41
High Street Kensington,940GZZLUHSK,108,31,15,255,211,41
Gloucester Road,940GZZLUGTR,109,34,15,255,211,41
South Kensington,940GZZLUSKS,110,37,15,255,211,41
Sloane Square,940GZZLUSSQ,111,40,15,255,211,41
Victoria,940GZZLUVIC,112,45,15,255,211,41
St. James's Park,940GZZLUSJP,113,51,15,255,211,41
Westminster,940GZZLUWSM,114,54,15,255,211,41
Embankment,940GZZLUEMB,115,58,15,255,211,41
Temple,940GZZLUTMP,116,61,15,255,211,41
Blackfriars,940GZZLUBKF,117,65,15,255,211,41
Mansion House,940GZZLUMSH,79,65,12,255,211,41
Cannon Street,940GZZLUCST,78,65,9,255,211,41
Monument,940GZZLUMMT,77,65,6,255,211,41
Tower Hill,940GZZLUTWH,74,62,6,255,211,41
Aldgate,940GZZLUALD,70,58,6,255,211,41
Liverpool Street,940GZZLULVT,67,55,6,255,211,41
Moorgate,940GZZLUMGT,63,51,6,255,211,41
Barbican,940GZZLUBBN,60,48,6,255,211,41
Farringdon,940GZZLUFCN,57,45,6,255,211,41
King's Cross St. Pancras,940GZZLUKSX,54,42,6,255,211,41
Euston Square,940GZZLUESQ,50,38,6,255,211,41
Great Portland Street,940GZZLUGPS,47,35,6,255,211,41
Baker Street,940GZZLUBST,43,31,6,255,211,41
Edgware Road (Circle Line),940GZZLUERC,40,28,6,255,211,41
Paddington (H&C Line)-Underground,940GZZLUPAH,37,25,6,255,211,41
Royal Oak,940GZZLURYO,34,22,6,255,211,41
Westbourne Park,940GZZLUWSP,31,19,6,255,211,41
Ladbroke Grove,940GZZLULAD,28,16,6,255,211,41
Latimer Road,940GZZLULRD,25,13,6,255,211,41
Wood Lane,940GZZLUWLA,22,10,6,255,211,41
Shepherd's Bush Market,940GZZLUSBM,19,7,6,255,211,41
Goldhawk Road,940GZZLUGHK,16,4,6,255,211,41
Hammersmith (H&C Line),940GZZLUHSC,13,1,6,255,211,41
