station,code,led,array_x,array_y,R,G,B
Upminster,940GZZLUUPM,76,64,6,0,125,0
Upminster Bridge,940GZZLUUPB,74,62,6,0,125,0
Hornchurch,940GZZLUHCH,72,60,6,0,125,0
Elm Park,940GZZLUEPK,70,58,6,0,125,0
Dagenham East ,940GZZLUDGE,68,56,6,0,125,0
Dagenham Heathway,940GZZLUDGY,66,54,6,0,125,0
Becontree,940GZZLUBEC,64,52,6,0,125,0
Upney,940GZZLUUPY,62,50,6,0,125,0
Barking,940GZZLUBKG,60,48,6,0,125,0
East Ham,940GZZLUEHM,58,46,6,0,125,0
Upton Park,940GZZLUUPK,56,44,6,0,125,0
Plaistow,940GZZLUPLW,54,42,6,0,125,0
West Ham,940GZZLUWHM,52,40,6,0,125,0
Bromley-by-Bow,940GZZLUBBB,50,38,6,0,125,0
Bow Road,940GZZLUBWR,48,36,6,0,125,0
Mile End,940GZZLUMED,46,34,6,0,125,0
Stepney Green,940GZZLUSGN,44,32,6,0,125,0
Whitechapel,940GZZLUWPL,43,31,6,0,125,0
Aldgate East,940GZZLUADE,42,30,6,0,125,0
Tower Hill,940GZZLUTWH,41,29,6,0,125,0
Monument,940GZZLUMMT,40,28,6,0,125,0
Cannon Street,940GZZLUCST,39,27,6,0,125,0
Mansion House,940GZZLUMSH,38,26,6,0,125,0
Blackfriars,940GZZLUBKF,37,25,6,0,125,0
Temple,940GZZLUTMP,36,24,6,0,125,0
Embankment,940GZZLUEMB,35,23,6,0,125,0
Westminster,940GZZLUWSM,34,22,6,0,125,0
St Jamess Park,940GZZLUSJP,33,21,6,0,125,0
Victoria,940GZZLUVIC,32,20,6,0,125,0
Sloane Square,940GZZLUSSQ,31,19,6,0,125,0
South Kensington,940GZZLUSKS,30,18,6,0,125,0
Gloucester Road,940GZZLUGTR,29,17,6,0,125,0
Earls Court,940GZZLUECT,28,16,6,0,125,0
West Kensington,940GZZLUWKN,27,15,6,0,125,0
Barons Court,940GZZLUBSC,26,14,6,0,125,0
Hammersmith (DistPicc Line),940GZZLUHSD,24,12,6,0,125,0
Ravenscourt Park,940GZZLURVP,23,11,6,0,125,0
Stamford Brook,940GZZLUSFB,22,10,6,0,125,0
Turnham Green,940GZZLUTNG,21,9,6,0,125,0
Chiswick Park,940GZZLUCWP,19,7,6,0,125,0
Acton Town,940GZZLUACT,17,5,6,0,125,0
Ealing Common,940GZZLUECM,15,3,6,0,125,0
Ealing Broadway,940GZZLUEBY,13,1,6,0,125,0
Gunnersbury,940GZZLUGBY,103,9,9,0,125,0
Kew Gardens,940GZZLUKWG,102,9,12,0,125,0
Richmond,940GZZLURMD,105,9,15,0,125,0
West Brompton,940GZZLUWBN,92,16,7,0,125,0
Fulham Broadway,940GZZLUFBY,93,16,8,0,125,0
Parsons Green,940GZZLUPSG,94,16,9,0,125,0
Putney Bridge,940GZZLUPYB,95,16,10,0,125,0
East Putney,940GZZLUEPY,96,16,11,0,125,0
Southfields,940GZZLUSFS,97,16,12,0,125,0
Wimbledon Park,940GZZLUWIP,98,16,13,0,125,0
Wimbledon,940GZZLUWIM,99,16,14,0,125,0
Edgware Road (Circle Line),940GZZLUERC,11,21,1,0,125,0
Paddington,940GZZLUPAC,10,20,2,0,125,0
Bayswater,940GZZLUBWT,9,19,3,0,125,0
Notting Hill Gate,940GZZLUNHG,8,18,4,0,125,0
High Street Kensington,940GZZLUHSK,7,17,5,0,125,0
Kensington (Olympia),940GZZLUKOY,12,14,4,0,125,0
