station,code,led,array_x,array_y,R,G,B
Heathrow Terminal 4,910GHTRWTM4,100,16,19,105,80,161
Heathrow Terminals 2 & 3,910GHTRWAPT,106,16,15,105,80,161
Hayes & Harlington,910GHAYESAH,28,16,6,105,80,161
Southall,910GSTHALL,31,19,6,105,80,161
Hanwell,910GHANWELL,35,23,6,105,80,161
West Ealing,910GWEALING,38,26,6,105,80,161
Ealing Broadway,910GEALINGB,42,30,6,105,80,161
Acton Main Line,910GACTONML,45,33,6,105,80,161
Paddington,910GPADTLL,49,37,6,105,80,161
Bond Street,910GBONDST,52,40,6,105,80,161
Tottenham Court Road,910GTOTCTRD,56,44,6,105,80,161
Farringdon,910GFRNDXR,59,47,6,105,80,161
Liverpool Street,910GLIVSTLL,63,51,6,105,80,161
Whitechapel,910GWCHAPXR,85,51,8,105,80,161
Canary Wharf,910GCANWHRF,84,51,9,105,80,161
Custom House,910GCSTMHSXR,83,51,11,105,80,161
Woolwich,910GWOLWXR,81,51,13,105,80,161
Abbey Wood,910GABWDXR,113,51,15,105,80,161
Heathrow Terminal 5,910GHTRWTM5,104,1,15,105,80,161
Stratford,910GSTFD,64,52,6,105,80,161
Maryland,910GMRYLAND,65,53,6,105,80,161
Forest Gate,910GFRSTGT,66,54,6,105,80,161
Manor Park,910GMANRPK,67,55,6,105,80,161
Ilford,910GILFORD,68,56,6,105,80,161
Seven Kings,910GSVNKNGS,69,57,6,105,80,161
Goodmayes,910GGODMAYS,70,58,6,105,80,161
Chadwell Heath,910GCHDWLHT,71,59,6,105,80,161
Romford,910GROMFORD,72,60,6,105,80,161
Gidea Park,910GGIDEAPK,73,61,6,105,80,161
Harold Wood,910GHRLDWOD,74,62,6,105,80,161
Brentwood,910GBRTWOOD,75,63,6,105,80,161
Shenfield,910GSHENFLD,76,64,6,105,80,161
Reading,910GRDNGSTN,13,1,6,105,80,161
Twyford,910GTWYFORD,14,2,6,105,80,161
Maidenhead,910GMDNHEAD,16,4,6,105,80,161
Taplow,910GTAPLOW,18,6,6,105,80,161
Burnham (Berks),910GBNHAM,20,8,6,105,80,161
Slough,910GSLOUGH,22,10,6,105,80,161
Langley (Berks),910GLANGLEY,24,12,6,105,80,161
Iver,910GIVER,26,14,6,105,80,161
West Drayton,910GWDRYTON,27,15,6,105,80,161
