station,code,led,array_x,array_y,R,G,B
Barking,940GZZLUBKG,13,1,6,244,169,190
East Ham,940GZZLUEHM,15,3,6,244,169,190
Upton Park,940GZZLUUPK,17,5,6,244,169,190
Plaistow,940GZZLUPLW,19,7,6,244,169,190
West Ham,940GZZLUWHM,21,9,6,244,169,190
Bromley-by-Bow,940GZZLUBBB,23,11,6,244,169,190
Bow Road,940GZZLUBWR,25,13,6,244,169,190
Mile End,940GZZLUMED,27,15,6,244,169,190
Stepney Green,940GZZLUSGN,29,17,6,244,169,190
Whitechapel,940GZZLUWPL,31,19,6,244,169,190
Aldgate East,940GZZLUADE,33,21,6,244,169,190
Liverpool Street,940GZZLULVT,35,23,6,244,169,190
Moorgate,940GZZLUMGT,37,25,6,244,169,190
Barbican,940GZZLUBBN,39,27,6,244,169,190
Farringdon,940GZZLUFCN,41,29,6,244,169,190
King's Cross St. Pancras,940GZZLUKSX,43,31,6,244,169,190
Euston Square,940GZZLUESQ,45,33,6,244,169,190
Great Portland Street,940GZZLUGPS,47,35,6,244,169,190
Baker Street,940GZZLUBST,49,37,6,244,169,190
Edgware Road (Circle Line),940GZZLUERC,51,39,6,244,169,190
Paddington (H&C Line)-Underground,940GZZLUPAH,53,41,6,244,169,190
Royal Oak,940GZZLURYO,55,43,6,244,169,190
Westbourne Park,940GZZLUWSP,57,45,6,244,169,190
Ladbroke Grove,940GZZLULAD,59,47,6,244,169,190
Latimer Road,940GZZLULRD,61,49,6,244,169,190
Wood Lane,940GZZLUWLA,63,51,6,244,169,190
Shepherd's Bush Market,940GZZLUSBM,65,53,6,244,169,190
Goldhawk Road,940GZZLUGHK,67,55,6,244,169,190
Hammersmith (H&C Line),940GZZLUHSC,69,57,6,244,169,190
