station,code,led,array_x,array_y,R,G,B
Stratford,940GZZLUSTD,13,1,6,161,165,167
West Ham,940GZZLUWHM,15,3,6,161,165,167
Canning Town,940GZZLUCGT,17,5,6,161,165,167
North Greenwich,940GZZLUNGW,19,7,6,161,165,167
Canary Wharf,940GZZLUCYF,21,9,6,161,165,167
Canada Water,940GZZLUCWR,23,11,6,161,165,167
Bermondsey,940GZZLUBMY,25,13,6,161,165,167
London Bridge,940GZZLULNB,27,15,6,161,165,167
Southwark,940GZZLUSWK,29,17,6,161,165,167
Waterloo,940GZZLUWLO,31,19,6,161,165,167
Westminster,940GZZLUWSM,33,21,6,161,165,167
Green Park,940GZZLUGPK,35,23,6,161,165,167
Bond Street,940GZZLUBND,37,25,6,161,165,167
Baker Street,940GZZLUBST,39,27,6,161,165,167
St. John's Wood,940GZZLUSJW,41,29,6,161,165,167
Swiss Cottage,940GZZLUSWC,43,31,6,161,165,167
Finchley Road,940GZZLUFYR,45,33,6,161,165,167
West Hampstead,940GZZLUWHP,47,35,6,161,165,167
Kilburn,940GZZLUKBN,49,37,6,161,165,167
Willesden Green,940GZZLUWIG,51,39,6,161,165,167
Dollis Hill,940GZZLUDOH,53,41,6,161,165,167
Neasden,940GZZLUNDN,55,43,6,161,165,167
Wembley Park,940GZZLUWYP,57,45,6,161,165,167
Kingsbury,940GZZLUKBY,59,47,6,161,165,167
Queensbury,940GZZLUQBY,61,49,6,161,165,167
Canons Park,940GZZLUCPK,63,51,6,161,165,167
Stanmore,940GZZLUSTM,65,53,6,161,165,167
