station,code,led,array_x,array_y,R,G,B
High Barnet,940GZZLUHBT,13,1,6,0,0,0
Totteridge & Whetstone,940GZZLUTAW,15,3,6,0,0,0
Woodside Park,940GZZLUWOP,17,5,6,0,0,0
West Finchley,940GZZLUWFN,19,7,6,0,0,0
Finchley Central,940GZZLUFYC,21,9,6,0,0,0
East Finchley,940GZZLUEFY,23,11,6,0,0,0
Highgate,940GZZLUHGT,24,12,6,0,0,0
Archway,940GZZLUACY,25,13,6,0,0,0
Tufnell Park,940GZZLUTFP,26,14,6,0,0,0
Kentish Town,940GZZLUKSH,27,15,6,0,0,0
Camden Town,940GZZLUCTN,28,16,6,0,0,0
Mornington Crescent,940GZZLUMTC,34,22,6,0,0,0
Euston,940GZZLUEUS,40,28,6,0,0,0
Warren Street,940GZZLUWRR,42,30,6,0,0,0
Goodge Street,940GZZLUGDG,44,32,6,0,0,0
Tottenham Court Road,940GZZLUTCR,45,33,6,0,0,0
Leicester Square,940GZZLULSQ,46,34,6,0,0,0
Charing Cross,940GZZLUCHX,47,35,6,0,0,0
Embankment,940GZZLUEMB,48,36,6,0,0,0
Waterloo,940GZZLUWLO,50,38,6,0,0,0
Kennington,940GZZLUKNG,52,40,6,0,0,0
Oval,940GZZLUOVL,54,42,6,0,0,0
Stockwell,940GZZLUSKW,56,44,6,0,0,0
Clapham North,940GZZLUCPN,58,46,6,0,0,0
Clapham Common,940GZZLUCPC,60,48,6,0,0,0
Clapham South,940GZZLUCPS,62,50,6,0,0,0
Balham,940GZZLUBLM,64,52,6,0,0,0
Tooting Bec,940GZZLUTBC,66,54,6,0,0,0
Tooting Broadway,940GZZLUTBY,68,56,6,0,0,0
Colliers Wood,940GZZLUCSD,71,59,6,0,0,0
South Wimbledon,940GZZLUSWN,74,62,6,0,0,0
Morden,940GZZLUMDN,77,65,6,0,0,0
Edgware,940GZZLUEGW,105,16,15,0,0,0
Burnt Oak,940GZZLUBTK,99,16,14,0,0,0
Colindale,940GZZLUCND,98,16,13,0,0,0
Hendon Central,940GZZLUHCL,97,16,12,0,0,0
Brent Cross,940GZZLUBTX,96,16,11,0,0,0
Golders Green,940GZZLUGGN,95,16,10,0,0,0
Hampstead,940GZZLUHTD,94,16,9,0,0,0
Belsize Park,940GZZLUBZP,93,16,8,0,0,0
Chalk Farm,940GZZLUCFM,92,16,7,0,0,0
Mill Hill East,940GZZLUMHL,103,9,9,0,0,0
Nine Elms,940GZZNEUGST,78,65,9,0,0,0
Battersea Power Station,940GZZBPSUST,79,65,12,0,0,0
