station,code,led,array_x,array_y,R,G,B
Cockfosters,940GZZLUCKS,77,65,6,0,25,168
Oakwood,940GZZLUOAK,75,63,6,0,25,168
Southgate,940GZZLUSGT,73,61,6,0,25,168
Arnos Grove,940GZZLUASG,71,59,6,0,25,168
Bounds Green,940GZZLUBDS,69,57,6,0,25,168
Wood Green,940GZZLUWOG,67,55,6,0,25,168
Turnpike Lane,940GZZLUTPN,65,53,6,0,25,168
Manor House,940GZZLUMRH,63,51,6,0,25,168
Finsbury Park,940GZZLUFPK,61,49,6,0,25,168
Arsenal,940GZZLUASL,59,47,6,0,25,168
Holloway Road,940GZZLUHWY,57,45,6,0,25,168
Caledonian Road,940GZZLUCAR,55,43,6,0,25,168
King's Cross St. Pancras,940GZZLUKSX,53,41,6,0,25,168
Russell Square,940GZZLURSQ,51,39,6,0,25,168
Holborn,940GZZLUHBN,49,37,6,0,25,168
Covent Garden,940GZZLUCGN,47,35,6,0,25,168
Leicester Square,940GZZLULSQ,45,33,6,0,25,168
Piccadilly Circus,940GZZLUPCC,43,31,6,0,25,168
Green Park,940GZZLUGPK,41,29,6,0,25,168
Hyde Park Corner,940GZZLUHPC,39,27,6,0,25,168
Knightsbridge,940GZZLUKNB,37,25,6,0,25,168
South Kensington,940GZZLUSKS,35,23,6,0,25,168
Gloucester Road,940GZZLUGTR,33,21,6,0,25,168
Earl's Court,940GZZLUECT,32,20,6,0,25,168
Barons Court,940GZZLUBSC,31,19,6,0,25,168
Hammersmith (Dist&Picc Line),940GZZLUHSD,30,18,6,0,25,168
Turnham Green,940GZZLUTNG,29,17,6,0,25,168
Acton Town,940GZZLUACT,28,16,6,0,25,168
Ealing Common,940GZZLUECM,27,15,6,0,25,168
North Ealing,940GZZLUNEN,26,14,6,0,25,168
Park Royal,940GZZLUPKR,25,13,6,0,25,168
Alperton,940GZZLUALP,24,12,6,0,25,168
Sudbury Town,940GZZLUSUT,23,11,6,0,25,168
Sudbury Hill,940GZZLUSUH,22,10,6,0,25,168
South Harrow,940GZZLUSHH,21,9,6,0,25,168
Rayners Lane,940GZZLURYL,20,8,6,0,25,168
Eastcote,940GZZLUEAE,19,7,6,0,25,168
Ruislip Manor,940GZZLURSM,18,6,6,0,25,168
Ruislip,940GZZLURSP,17,5,6,0,25,168
Ickenham,940GZZLUICK,16,4,6,0,25,168
Hillingdon,940GZZLUHGD,15,3,6,0,25,168
Uxbridge,940GZZLUUXB,13,1,6,0,25,168
South Ealing,940GZZLUSEA,92,16,7,0,25,168
Northfields,940GZZLUNFD,93,16,8,0,25,168
Boston Manor,940GZZLUBOS,94,16,9,0,25,168
Osterley,940GZZLUOSY,95,16,10,0,25,168
Hounslow East,940GZZLUHWE,96,16,11,0,25,168
Hounslow Central,940GZZLUHWC,97,16,12,0,25,168
Hounslow West,940GZZLUHWT,98,16,13,0,25,168
Hatton Cross,940GZZLUHNX,106,16,15,0,25,168
Heathrow Terminals 2 & 3,940GZZLUHRC,105,9,15,0,25,168
Heathrow Terminal 5,940GZZLUHR5,104,1,15,0,25,168
Heathrow Terminal 4,940GZZLUHR4,101,9,19,0,25,168
