station,code,led,array_x,array_y,R,G,B
Walthamstow Central,940GZZLUWWL,13,1,6,0,152,216
Blackhorse Road,940GZZLUBLR,16,4,6,0,152,216
Tottenham Hale,940GZZLUTMH,19,7,6,0,152,216
Seven Sisters,940GZZLUSVS,22,10,6,0,152,216
Finsbury Park,940GZZLUFPK,25,13,6,0,152,216
Highbury & Islington,940GZZLUHAI,28,16,6,0,152,216
King's Cross St. Pancras,940GZZLUKSX,31,19,6,0,152,216
Euston,940GZZLUEUS,34,22,6,0,152,216
Warren Street,940GZZLUWRR,37,25,6,0,152,216
Oxford Circus,940GZZLUOXC,40,28,6,0,152,216
Green Park,940GZZLUGPK,43,31,6,0,152,216
Victoria,940GZZLUVIC,46,34,6,0,152,216
Pimlico,940GZZLUPCO,49,37,6,0,152,216
Vauxhall,940GZZLUVXL,52,40,6,0,152,216
Stockwell,940GZZLUSKW,55,43,6,0,152,216
Brixton,940GZZLUBXN,58,46,6,0,152,216
